Station_name,Available_bikes,Longitude,Latitude
Richmond / des Bassins,0,-73.56500297784805,45.48752158511353
Parc Chenier (de l'Aréna / Chenier),11,-73.5432904958725,45.60248649638568
René-Lévesque / Panet,4,-73.55219006538391,45.51862424058306
6e avenue / Villeray,10,-73.60589044634253,45.55873962047568
du Mont-Royal / Augustin-Frigon,11,-73.56780052185059,45.54355786336148
Michelet / Jean-Talon,6,-73.58353972434998,45.57627820285533
des Bassins / du Séminaire,7,-73.56022328138351,45.49047561880464
Parc du Pélican (2e avenue / St-Joseph),4,-73.5717111825943,45.544580831168204
Marie-Anne / de la Roche,2,-73.5762870311737,45.527550507601894
St-Dominique / Rachel,0,-73.581566,45.518593
7e avenue / St-Joseph Rosemont,25,-73.56936693191528,45.54710817336986
Jean Langlois / Fullum,7,-73.54575277422555,45.526499983000186
Bibliothèque de Verdun (Brown / Bannantyne),10,-73.57785612344742,45.44826204820947
LaSalle / Crawford,6,-73.58253550531117,45.43791516514076
McNamara / St-Martin O,11,-73.72351884841918,45.57120355585774
Natatorium (LaSalle / Rolland),4,-73.57542979723802,45.4443505862464
Mairie d'arrondissement LaSalle (Dupras / Jeannette),3,-73.66280972957611,45.429166968311485
Parc Chopin (Dumouchel / Tessier),5,-73.7370860205192,45.570726609302966
Pierre-Péladeau / du Centropolis,14,-73.74370649456978,45.56251175219665
Jeanne-Mance / St-Martin O,7,-73.7480603903532,45.557421482389636
Argyle / de Verdun,14,-73.57191503047943,45.45301583620112
St-Jacques / Vinet,10,-73.57692271471024,45.485328993998365
St-Charles / Thomas-Keefer,17,-73.573775,45.477605
de Chenonceau / Chomedey,12,-73.75448,45.56157
St-Joseph / 8e avenue Lachine,13,-73.67110446095467,45.431518914135125
Lionel-Groulx / George-Vanier,15,-73.57352435588837,45.486346321757786
8e avenue / Notre-Dame Lachine,9,-73.67079868912697,45.43498715540587
Beatty / de Verdun,8,-73.5725748538971,45.450729976972944
Duvernay / Charlevoix,10,-73.57487618923187,45.4820980397155
Mayfield / St-Martin O,6,-73.75822663307189,45.553017541248565
Gloria / Dollard,11,-73.633883446455,45.42971096449354
Bel Air / St-Antoine,11,-73.58367975812143,45.4824297233159
4e avenue / de Verdun,10,-73.57260704040527,45.4568844514464
41e avenue / Victoria,7,-73.70242863893507,45.44053238705948
de l'Église / Bannantyne,6,-73.57587933540344,45.4632535358533
Regina / de Verdun,12,-73.570769,45.467369
Turgeon / Notre-Dame,7,-73.58198940753937,45.478888528072076
Métro Place St-Henri (St-Ferdinand / St-Jacques),0,-73.58732163906097,45.47729315148685
Jacques-Le Ber / de la Pointe Nord,6,-73.5398056358099,45.47259900304475
Métro Lasalle (de Rushbrooke / Caisse),18,-73.56542240828276,45.47069642604657
Métro de l'Église (Ross / de l'Église),8,-73.56592163443565,45.462846046287325
Métro Verdun (Willibrord / de Verdun),7,-73.57209205627441,45.459487694540734
Rose-de-Lima / Workman,17,-73.58099363744259,45.48026417718717
Panet / Ste-Catherine,5,-73.5548883676529,45.51999897796297
Ste-Claire / Pierre-Tétreault,2,-73.52441847324371,45.60191332161639
Parc Félix-Leclerc (François-Boivin / St-Zotique),8,-73.56275528669356,45.5914549914687
Desjardins / Ontario,9,-73.54087114334106,45.55118417872238
Montcalm / Ontario,17,-73.56231406331062,45.52111152278944
Métro Lionel-Groulx (St-Jacques / Atwater),5,-73.57975836854166,45.48295816149219
5e avenue / Bannantyne,12,-73.57614,45.456365
Letourneux / Ste-Catherine,0,-73.53409996037954,45.55078357889704
